,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1291,K2-275 c,K2-275,1,2,Transit,2018,8.4388385,2.21,0.69,0.77,-0.06,123.438,2010s,Sub-Neptune,1.1159420289855073
1292,K2-276 b,K2-276,1,1,Transit,2018,18.718269,3.77,0.85,0.82,0.07,488.152,2010s,Sub-Jovian,0.9647058823529412
1293,K2-277 b,K2-277,1,1,Transit,2018,6.326763,2.07,0.97,1.02,0.11,113.123,2010s,Sub-Neptune,1.0515463917525774
1294,K2-278 b,K2-278,1,1,Transit,2018,3.334966,2.98,1.61,1.4,0.0,786.439,2010s,Sub-Neptune,0.8695652173913042
1295,K2-279 b,K2-279,1,1,Transit,2018,7.122605,1.21,0.86,0.79,-0.37,182.983,2010s,Super-Earth,0.9186046511627908
1296,K2-28 b,K2-28,1,1,Transit,2016,2.260455,2.32,0.29,0.26,0.26,62.9969,2010s,Sub-Neptune,0.8965517241379312
1297,K2-280 b,K2-280,1,1,Transit,2018,19.89526,7.5,1.28,1.03,0.33,391.537,2010s,Jovian,0.8046875
1298,K2-281 b,K2-281,1,1,Transit,2018,8.687721,8.18,0.76,0.82,0.22,458.139,2010s,Jovian,1.0789473684210527
1299,K2-282 b,K2-282,1,2,Transit,2018,4.169783,2.5,1.0,0.95,-0.23,496.289,2010s,Sub-Neptune,0.95
1300,K2-283 b,K2-283,1,1,Transit,2018,1.921036,3.52,0.82,0.89,0.28,402.915,2010s,Sub-Jovian,1.0853658536585367
1301,K2-284 b,K2-284,1,1,Transit,2018,4.795069,2.78,0.61,0.63,0.0,107.272,2010s,Sub-Neptune,1.0327868852459017
1302,K2-285 b,K2-285,1,4,Transit,2018,3.471745,2.59,0.79,0.83,0.0,154.961,2010s,Sub-Neptune,1.050632911392405
1303,K2-285 c,K2-285,1,4,Transit,2018,7.138048,3.53,0.79,0.83,0.0,154.961,2010s,Sub-Jovian,1.050632911392405
1304,K2-285 d,K2-285,1,4,Transit,2018,10.45582,2.48,0.79,0.83,0.0,154.961,2010s,Sub-Neptune,1.050632911392405
1305,K2-285 e,K2-285,1,4,Transit,2018,14.76289,1.95,0.79,0.83,0.0,154.961,2010s,Sub-Neptune,1.050632911392405
1306,K2-286 b,K2-286,1,1,Transit,2018,27.359,2.1,0.62,0.64,0.0,76.1486,2010s,Sub-Neptune,1.032258064516129
1307,K2-287 b,K2-287,1,1,Transit,2018,14.893291,9.494,1.07,1.06,0.2,158.335,2010s,Jovian,0.9906542056074766
1308,K2-288 B b,K2-288 B,2,1,Transit,2018,31.393463,1.9,0.32,0.33,-0.21,65.6138,2010s,Sub-Neptune,1.03125
1309,K2-289 b,K2-289,1,1,Transit,2019,13.156969,9.1,1.02,0.95,0.162,274.3,2010s,Jovian,0.9313725490196078
1310,K2-29 b,K2-29,2,1,Transit,2016,3.2588321,13.339,0.86,0.94,0.16,178.475,2010s,Jovian,1.0930232558139534
1311,K2-290 b,K2-290,3,2,Transit,2019,9.21165,3.06,1.51,1.19,-0.06,272.909,2010s,Sub-Neptune,0.7880794701986754
